date,zinc_close,zinc_volume,zinc_inventory,aluminium_close,aluminium_volume,aluminium_inventory,usd_index,oil_price
2019-01-01,2900.0,19397,150000.0,2400.0,16635,150000.0,100.03047170797544,69.8301115253257
2019-01-02,2919.6415409292267,7183,148699.19484716118,2390.4432299235696,19328,151541.661071179,99.9264732973514,69.64273050286114
2019-01-03,2889.787453335377,19151,151233.43245087954,2344.231805162269,5787,155693.3812512992,100.00151841693204,70.0402745215236
2019-01-04,2900.6848319356877,10835,153271.4158445623,2366.1581717441886,6425,153616.53689435727,100.09557488857116,70.13936150520857
2019-01-07,2914.7500926653197,7550,149026.64255786416,2381.2789936068184,17065,149179.24195127914,99.90047136970578,70.07584136444525
2019-01-08,2922.1916244589133,18920,146849.57627789417,2371.204795913089,15721,152072.21033745937,99.77025341901954,70.22545719676617
2019-01-09,2935.5568636675,19783,145702.70074108898,2365.7878914895487,7249,151738.6984438739,99.78303745933627,69.59329949256727
2019-01-10,2932.3181237123076,9981,147782.31743496849,2351.26863945096,13890,153795.72530663476,99.75141320010192,69.58035941567499
2019-01-11,2946.9526481580497,9409,145518.16864000759,2349.8729630340686,7208,154952.43902579122,99.74973308435149,70.17961366901642
2019-01-14,2940.647189113855,17895,146913.64745531866,2338.92846354934,13164,158000.68503891627,99.66442869159413,70.21931762093722
2019-01-15,2935.1848254361757,18627,146287.64292861993,2322.700527982336,19296,157811.1001231658,99.75236848908041,70.23969157168803
2019-01-16,2929.3002986774163,14710,145935.75285955143,2326.6590616544063,13235,159130.66627578347,99.8301476826233,70.40413008558069
2019-01-17,2953.4781414372405,5627,146873.77705689656,2334.765214658392,10734,160135.49432327732,99.83675075237943,70.67281165857499
2019-01-18,2909.4355624187206,6336,149415.68830925727,2349.860517673953,14589,158607.56850295526,99.94947487307623,70.07357165070803
2019-01-21,2900.1907631507847,7181,155980.23828313983,2319.5295989868314,9166,161084.46180427156,99.99622580730144,69.56887370617072
2019-01-22,2905.8130017592684,14404,156251.2700891472,2292.069496859081,10116,163722.89073576848,99.91029656101311,69.63196109349657
2019-01-23,2880.5435692359606,5572,160179.69026718443,2294.888112616569,12036,161368.33356719636,99.94717163942136,69.4174981249273
2019-01-24,2928.1940188888466,10950,158253.53909301598,2308.610274407458,15627,159224.719643673,99.85128337933847,69.81110570359328
2019-01-25,2944.312283301716,9299,153958.11311339025,2314.3178635059285,5755,156438.16638494053,99.93912840946919,69.71655338662772
2019-01-28,2906.0815620035373,15205,153435.0124409457,2330.859870923037,7989,157402.83201113797,99.93413581837056,69.13619416591378
2019-01-29,2909.1972089608726,16317,154160.5911538578,2323.4596924241514,9102,156472.12322851518,99.91564958201604,68.75578999086059
2019-01-30,2893.8779196223477,5004,152960.55637900904,2357.4086143922295,13573,151409.24045858625,99.84755662757564,67.93088718497141
2019-01-31,2872.5847283142484,7320,153307.17853632933,2337.529804740552,14443,153463.30530880246,99.96981076144304,67.86064952378653
2019-02-01,2875.353509952087,6013,152408.29566456296,2356.1229319740355,13743,152986.23690280996,99.95435781323617,67.80413428560722
2019-02-04,2864.282440679729,6984,151320.38177871887,2381.5567516157553,15600,150125.81967355355,99.91152503101985,67.67679547267265
2019-02-05,2885.275728038784,9228,152207.8464864505,2403.53419822966,10813,146438.03189161388,99.87631167597104,68.00045918438158
2019-02-06,2866.9662246640964,15675,155013.03817035683,2376.7364130589626,6131,149609.75750613853,99.92954259452637,68.36001513533658
2019-02-07,2856.0387251359093,15325,156074.76872153522,2400.328043869745,14151,149397.84275081192,99.96608700096277,68.30889860832976
2019-02-08,2832.1214019392137,13411,158811.31642137567,2420.0050003512183,7646,144544.85919878318,100.00736026212238,67.66849050808669
2019-02-11,2832.233249105895,17527,156901.65296645297,2425.7923407582557,9602,145998.97553049403,100.05044236242317,67.85367498223437
2019-02-12,2825.687403584666,5879,159043.72122919396,2411.314199837485,18518,143736.38715426714,100.26460712251021,68.02028305078694
2019-02-13,2760.542019375139,9935,161862.9543903841,2408.0014386571056,15832,145453.07191748347,100.22396562087175,68.11310052183403
2019-02-14,2778.456869637744,9272,163568.33130298246,2373.32052417878,17341,147554.89840609755,100.17274134796459,68.40754444662646
2019-02-15,2835.3818608135516,6203,157999.29466043392,2386.1339801597924,18707,146049.9372237688,100.09136407513981,68.05809601768816
2019-02-18,2857.667119884286,16333,155237.73962378842,2357.407284717131,9332,149994.0123168872,100.15296201739736,68.6607226335437
2019-02-19,2796.883498393385,11782,161768.86129457047,2380.4848102556793,5570,150983.7899303722,100.26585924666945,68.37289430760113
2019-02-20,2818.800333113671,13210,161382.45108112262,2409.71943781461,15254,152756.88945213746,100.25446450090396,68.59766118576138
2019-02-21,2711.5577866910053,15108,166968.0126997483,2395.894290291984,16925,156677.77409347246,100.1704488532077,68.09145687743738
2019-02-22,2685.4029033754496,19152,169935.06688988398,2394.905487219972,14142,158127.87329458742,100.08800073163859,67.81237747125637
2019-02-25,2579.9438261367914,16527,177588.71878558258,2378.4272618176446,10558,156800.77372446223,100.15306001042104,68.26728806527397
2019-02-26,2640.8168935897634,16573,172630.61377006274,2385.645324199278,15949,155370.9067443814,100.22738542754139,68.18901811837371
2019-02-27,2638.106834703853,11287,173849.70081405097,2380.8444187544233,14903,156041.492316476,100.28170085437192,68.44099489991355
2019-02-28,2666.3612448642402,16108,172704.83915985734,2398.30373781379,6375,153370.92670803663,100.21514988364305,68.51208151652932
2019-03-01,2664.039621533025,19233,174693.0764261899,2384.218823986874,13368,155737.59525978426,100.23836601594972,68.48059406972928
2019-03-04,2731.6890981807123,17154,170336.4901808469,2399.122923867587,13614,153997.48512516485,100.25003459686378,68.88974916720908
2019-03-05,2731.2110596898337,18058,170826.39686803965,2352.5748310433905,9069,161479.72004209846,100.27190345653669,68.81875151981352
2019-03-06,2758.0324818048175,6274,168456.87906356575,2359.2450960323536,16098,160484.36526928956,100.35904633433151,68.28453008754447
2019-03-07,2753.509854346919,5218,171599.1131007043,2343.778170276636,17293,159205.8611778597,100.38140588920898,68.04355805995895
2019-03-08,2841.5425660721066,10282,163435.93971466186,2336.096485208378,12722,158795.79467425862,100.44929724551616,68.20891557856946
2019-03-11,2738.229858656595,6752,174403.34806005095,2323.894844126374,10841,158365.22859249613,100.45605515246505,68.32756831047821
2019-03-12,2727.8730386374023,17186,179288.3652223844,2295.170016691815,11702,162223.80847753354,100.48496709233406,67.85745083540759
2019-03-13,2718.911203002525,8391,183998.3789058761,2302.9948610523293,16527,164274.08276573068,100.54809591491791,67.64014807958513
2019-03-14,2718.498484682666,9463,183421.93409072908,2315.3776540918566,5926,165150.74821858338,100.40238033293234,67.46563167482445
2019-03-15,2747.692990320493,19395,185159.99995470908,2321.7436763157043,15916,166552.12555497076,100.37041321129661,67.35599079659019
2019-03-18,2790.68679097937,11696,183987.65285451512,2356.971672113891,17517,162032.2690149905,100.32337594586733,66.94321672000972
2019-03-19,2622.8109876793555,18190,197836.36295419038,2375.7044607740777,6491,158166.05912551953,100.259488161043,66.75470538757388
2019-03-20,2793.8115638092086,14336,190919.9453114821,2382.9097188228407,13298,155929.62570549393,100.23197393592034,66.53612224199603
2019-03-21,2832.154457693406,16778,188176.9983575179,2400.5294052293452,5999,154519.76860340117,100.38146806704377,66.76758221992459
2019-03-22,2793.4937449847653,6684,191687.65398424724,2382.4259284882346,13738,155357.20606467634,100.29488495547444,67.01031861322167
2019-03-25,2762.3950109552998,9391,190999.52700952027,2397.4896204186866,8443,154678.6664475891,100.3917127909336,66.96657547579503
2019-03-26,2754.3472386308504,15466,186745.87420631075,2383.671576044898,12569,157906.01167997206,100.22342581377201,66.8489635370338
2019-03-27,2686.149624058446,5525,191927.50846412993,2381.022291698087,19600,158288.16468502834,100.18993731077343,66.89094083064553
