date,zinc_close,zinc_volume,zinc_inventory,zinc_regime,zinc_regime_next,aluminium_close,aluminium_volume,aluminium_inventory,aluminium_regime,aluminium_regime_next,usd_index,oil_price
2015-01-01,2894.1155845351464,10675,150000.0,0,0,2388.90082242229,19296,150000.0,0,0,100.03047170797544,70.16592303610757
2015-01-02,2813.640971706493,10883,155551.01409463023,0,0,2394.3459347534977,18430,156984.12596855327,0,0,99.9264732973514,70.24059711571009
2015-01-05,2788.2325282562174,5933,161217.8263811358,0,0,2409.10645880214,18398,163045.6782752758,0,0,100.00151841693204,70.54319762249654
2015-01-06,2781.708347401579,10073,171771.26074387677,0,0,2434.8762604875315,5746,181894.11950974216,0,0,100.09557488857116,70.68853365427105
2015-01-07,2852.6719237881275,19275,179653.31622155002,0,0,2473.6000040611398,9537,186588.24618637218,0,0,99.90047136970578,71.0538512105064
2015-01-08,2849.487737645886,18847,187590.31941549198,0,0,2456.282130630783,13633,189787.88787922476,0,0,99.77025341901954,71.3296783135005
2015-01-09,2896.5911406549817,6202,192723.58289345185,0,0,2403.9140225341384,7297,195294.2960001165,0,0,99.78303745933627,71.78618844932159
2015-01-12,2941.2954410526427,8314,211051.86669669294,0,0,2356.8427591645514,12152,196581.15909111098,0,0,99.75141320010192,71.89382727449346
2015-01-13,2950.4347799337943,15406,220772.5193404953,0,0,2317.9316981839606,10443,210527.3787079701,0,0,99.74973308435149,72.16540509494165
2015-01-14,2951.7453380914894,7024,234751.09251033838,0,0,2294.7404589600887,11311,216154.4045486359,0,0,99.66442869159413,72.0732669730159
2015-01-15,2952.9087660450878,16525,240692.505365503,0,0,2305.0742832433825,6369,220957.13194014397,0,0,99.75236848908041,71.89282872954821
2015-01-16,2942.791180664939,5089,240638.95431439643,0,0,2267.1633541606147,11989,227315.79955283564,0,0,99.8301476826233,72.4048590216739
2015-01-19,2927.3464554765974,11539,241052.02808656712,0,0,2277.986641222716,10906,229683.5145515223,0,0,99.83675075237943,72.46972042457071
2015-01-20,2941.34983325352,13829,242193.40758641993,0,0,2270.281688411987,11521,235021.3344852003,0,0,99.94947487307623,72.71118459432942
2015-01-21,2977.0168252630665,15963,248704.87875856055,0,0,2247.505226890095,17021,245817.81156787646,0,0,99.99622580730144,72.74830659865285
2015-01-22,2988.390831732542,12480,256836.82662710536,0,0,2230.609365546098,6211,251117.3541025172,0,0,99.91029656101311,72.57235190337686
2015-01-23,3022.278295222659,15760,256904.80160229234,0,0,2210.0655996317037,18222,256267.21237511514,0,0,99.94717163942136,72.57564677115157
2015-01-26,3077.827185872744,15844,256930.87522628932,0,0,2206.08058224917,9277,264687.3848775574,0,0,99.85128337933847,73.00644497648189
2015-01-27,3128.746446147451,15733,265068.4450985295,0,0,2201.0524333097756,8633,269430.86760978395,0,0,99.93912840946919,73.17301699876572
2015-01-28,3089.106078333388,5488,276991.6449962413,0,0,2178.3660484267402,11278,273179.1415342442,0,0,99.93413581837056,72.65957505084657
2015-01-29,3039.3174250215448,10263,286341.51174390706,0,0,2131.372113302583,16644,275842.390132533,0,0,99.91564958201604,72.59500171387373
2015-01-30,2932.9317252060055,17096,285517.8680670438,0,0,2117.438344722214,12529,288175.40197572584,0,0,99.84755662757564,73.12968985168514
2015-02-02,2881.6282117758255,11386,285682.64739205124,0,0,2125.574183796386,7577,287159.1981553205,0,0,99.96981076144304,73.06555079313016
2015-02-03,2822.5349885899927,16868,285244.0500096285,0,0,2174.9853837393293,12854,290871.5779715029,0,0,99.95435781323617,72.5254071856099
2015-02-04,2772.55370034429,7941,291294.1731918874,0,0,2241.976983278757,18372,298441.6354405413,0,0,99.91152503101985,73.09332185123667
2015-02-05,2781.186155195994,16437,297134.11921800335,0,0,2304.406309811024,5201,302105.4352677112,0,0,99.87631167597104,73.2980396041805
2015-02-06,2766.177949922784,9128,297519.916107362,0,0,2328.1229455856874,5226,307893.0269726803,0,0,99.92954259452637,73.27703574653665
2015-02-09,2692.158619071116,12383,303136.7206988062,0,0,2358.3507865264896,7102,314139.2379375087,0,0,99.96608700096277,73.16561042571205
2015-02-10,2661.477125481258,9160,302644.9415253581,0,0,2340.223521254988,6990,321165.87084161176,0,0,100.00736026212238,73.49031600464956
2015-02-11,2640.368230217719,8042,311017.96751199936,0,0,2326.180894139995,8362,326449.93685392727,0,0,100.05044236242317,73.3277209845817
2015-02-12,2590.5363969283662,7519,318820.9982186783,0,0,2275.5070022423006,19003,336146.4791752621,0,0,100.26460712251021,73.6721979119365
2015-02-13,2550.9808455560374,12763,322702.19746958086,0,0,2262.2552044157915,13493,340622.1659053474,0,0,100.22396562087175,73.83485649765377
2015-02-16,2483.419724525056,15673,329004.8856211273,0,0,2249.379772961764,12032,349976.655213424,0,0,100.17274134796459,73.90826107529998
2015-02-17,2429.6500216655,11937,333134.03651673865,0,0,2277.234774857474,12988,354123.6691989818,0,0,100.09136407513981,73.95191551690066
2015-02-18,2461.877147014862,12003,345553.0307934225,0,0,2304.337794035815,9080,354551.8558397379,0,0,100.15296201739736,73.89942510588641
2015-02-19,2448.4583503160343,8129,343502.8803123193,0,0,2329.6853941287586,6229,358489.12572024565,0,0,100.26585924666945,74.21311714194918
2015-02-20,2428.1055741141513,19396,348960.44029089314,0,0,2329.7361435968555,11689,360125.9480380358,0,0,100.25446450090396,73.95351429231863
2015-02-23,2398.1076085570126,7908,357177.80773003364,0,0,2321.647863213848,13001,363712.1236251077,0,0,100.1704488532077,73.46693675426957
2015-02-24,2372.3325688600207,12500,355688.4964029499,0,0,2338.89195089999,14575,370597.26225816784,0,0,100.08800073163859,73.65126879113731
2015-02-25,2385.660935990809,19574,357249.5313599522,0,0,2366.6142800823127,16697,380917.6721835097,0,0,100.15306001042104,73.84064028955746
2015-02-26,2364.117631140049,16896,356145.4756696956,0,0,2384.2238204305195,12356,376850.80276513577,0,0,100.22738542754139,73.98471263531098
